"word","freq"
"one",278
"time",199
"great",172
"made",152
"good",150
"little",145
"much",144
"might",142
"first",138
"will",137
"business",130
"new",128
"may",122
"now",116
"found",112
"project",112
"franklin",107
"work",107
"upon",104
"man",101
"many",98
"soon",96
"house",95
"thought",93
"said",91
"well",91
"two",87
"people",84
"years",83
"took",82
"money",81
"never",80
"without",79
"among",77
"gave",75
"must",75
"another",74
"however",74
"philadelphia",74
"friends",73
"see",72
"public",71
"several",71
"england",70
"give",70
"men",69
"therefore",69
"went",69
"day",68
"make",67
"came",66
"part",66
"life",65
"use",65
"every",64
"paper",63
"father",62
"governor",62
"near",62
"old",62
"tho",61
"poor",59
"read",58
"think",58
"young",58
"assembly",57
"general",57
"often",57
"put",57
"yet",57
"gutenbergtm",56
"still",56
"set",55
"till",55
"says",54
"better",53
"shall",53
"days",52
"etc",52
"left",52
"london",52
"year",52
"account",51
"company",51
"met",51
"since",51
"way",51
"country",50
"boston",49
"sometimes",49
"others",48
"long",47
"perhaps",47
"small",47
"things",47
"books",46
"brought",46
"letters",46
"pennsylvania",46
"service",46
"done",45
"number",45
"friend",44
"sent",44
"three",44
"works",44
"can",43
"means",43
"order",43
"take",43
"writing",43
"hundred",42
"taken",42
"told",42
"common",41
"given",41
"letter",41
"next",41
"paid",41
"papers",41
"also",40
"illustration",40
"know",40
"length",40
"place",40
"pounds",40
"york",40
"together",39
"whole",39
"wrote",39
"always",38
"autobiography",38
"hands",38
"like",38
"purpose",38
"thro",38
"began",36
"generally",36
"necessary",36
"nothing",36
"occasion",36
"opinion",36
"saw",36
"thus",36
"accordingly",35
"english",35
"present",35
"printed",35
"return",35
"terms",35
"affairs",34
"different",34
"ever",34
"keimer",34
"conversation",33
"far",33
"following",33
"franklins",33
"got",33
"let",33
"manner",33
"right",33
"written",33
"best",32
"come",32
"find",32
"hand",32
"kind",32
"town",32
"america",31
"book",31
"called",31
"heard",31
"last",31
"pay",31
"ship",31
"son",31
"success",31
"afterwards",30
"care",30
"continued",30
"immediately",30
"interest",30
"kept",30
"province",30
"thousand",30
"want",30
"agreement",29
"became",29
"conduct",29
"four",29
"full",29
"gutenberg",29
"proposd",29
"published",29
"able",28
"captain",28
"just",28
"keep",28
"reading",28
"street",28
"william",28
"advantage",27
"copy",27
"defense",27
"electronic",27
"end",27
"french",27
"home",27
"indeed",27
"printinghouse",27
"act",26
"agreed",26
"benjamin",26
"colonies",26
"deal",26
"even",26
"family",26
"get",26
"knew",26
"method",26
"plan",26
"ready",26
"sir",26
"useful",26
"american",25
"building",25
"character",25
"evening",25
"inhabitants",25
"john",25
"members",25
"night",25
"states",25
"water",25
"world",25
"acquaintance",24
"beginning",24
"case",24
"early",24
"expected",24
"leave",24
"mind",24
"pleasure",24
"printing",24
"though",24
"virtue",24
"away",23
"brother",23
"carried",23
"continud",23
"fire",23
"form",23
"foundation",23
"giving",23
"horses",23
"known",23
"laws",23
"making",23
"morning",23
"probably",23
"reason",23
"seems",23
"society",23
"war",23
"acquainted",22
"children",22
"going",22
"instructions",22
"large",22
"lived",22
"master",22
"point",22
"press",22
"ralph",22
"rest",22
